Tasks,Personas,Use Cases,Task Note,Review Note
Archive,,,,
Use Cases Template,,,,
Tear Sheet,"Agency/Consultant/Firm, Equity Investor (VC/PE)",Screening,Will,
Revenue & Gross Profit Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",FDD,Ann,
Operating Expense & Net Profit Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",FDD,Ann,
Proof of Cash,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",FDD,Will,
Liquidity & Working Capital Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",FDD,Ann,
Solvency & Capital Structure Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE)",FDD,Ann,
Related Party Analysis & Channel Stuffing,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",FDD,Ann,
Financial Forecasting,"Agency/Consultant/Firm, Equity Investor (VC/PE), Founder/CFO, Private Debt","FDD, FP&A",Will,
Runway Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Founder/CFO, Private Debt","FDD, FP&A",Will,
Equity Valuation,"Agency/Consultant/Firm, Equity Investor (VC/PE)",Valuation,Will,
Leveraged Buyout,"Agency/Consultant/Firm, Equity Investor (VC/PE)",Valuation,Will,
Debt Covenant Monitoring,Private Debt,Monitoring,Ann,
Portfolio Performance Monitoring,Equity Investor (VC/PE),Monitoring,Ann,
Bookkeeping Quality Enhancement,"Agency/Consultant/Firm, Founder/CFO",FP&A,Will,
Operational Risk Management,"Agency/Consultant/Firm, Founder/CFO",FP&A,Will,
[Use Cases] Structure and template,,,,
[Use Cases] Portfolio Monitoring,,,,
[Use Cases] FDD,,,,
[Use Cases] Valuation,Equity Investor (VC/PE),Valuation,,
[Use Cases] FP&A,"Agency/Consultant/Firm, Founder/CFO",FP&A,,
[By Persona] PE/VC Equity Investor,,,,
