Tasks,Personas,Review Note,Task Note,Use Cases
Proof of Cash,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",,Will,FDD
Portfolio Performance Monitoring,Equity Investor (VC/PE),,Ann,Monitoring
Revenue & Gross Profit Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",,Ann,FDD
Equity Valuation,"Agency/Consultant/Firm, Equity Investor (VC/PE)",,Will,Valuation
Bookkeeping Quality Enhancement,"Agency/Consultant/Firm, Founder/CFO",,Will,FP&A
Liquidity & Working Capital Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",,Ann,FDD
Operating Expense & Net Profit Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",,Ann,FDD
Related Party Analysis & Channel Stuffing,"Agency/Consultant/Firm, Equity Investor (VC/PE), Private Debt",,Ann,FDD
Runway Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE), Founder/CFO, Private Debt",,Will,"FDD, FP&A"
Debt Covenant Monitoring,Private Debt,,Ann,Monitoring
Financial Forecasting,"Agency/Consultant/Firm, Equity Investor (VC/PE), Founder/CFO, Private Debt",,Will,"FDD, FP&A"
Leveraged Buyout,"Agency/Consultant/Firm, Equity Investor (VC/PE)",,Will,Valuation
Operational Risk Management,"Agency/Consultant/Firm, Founder/CFO",,Will,FP&A
Tear Sheet,"Agency/Consultant/Firm, Equity Investor (VC/PE)",,Will,Screening
Solvency & Capital Structure Analysis,"Agency/Consultant/Firm, Equity Investor (VC/PE)",,Ann,FDD
Use Cases Template,,,,
Archive,,,,
[Use Cases] Portfolio Monitoring,,,,
[Use Cases] FDD,,,,
[Use Cases] Valuation,Equity Investor (VC/PE),,,Valuation
[Use Cases] FP&A,"Agency/Consultant/Firm, Founder/CFO",,,FP&A
[By Persona] PE/VC Equity Investor,,,,
[Use Cases] Structure and template,,,,
